time,exchange,ticker,bid,ask,bidsize,asksize
2019-09-30 11:49:18.466,TrueFX,EUR/USD,1.09138,1.0914,100,100
2019-09-30 11:49:19.181,TrueFX,USD/JPY,107.965,107.966,100,100
2019-09-30 11:49:18.931,TrueFX,GBP/USD,1.23195,1.23203,100,100
2019-09-30 11:49:18.447,TrueFX,EUR/GBP,0.8858,0.88584,100,100
2019-09-30 11:49:18.849,TrueFX,USD/CHF,0.995,0.99503,100,100
2019-09-30 11:49:19.182,TrueFX,EUR/JPY,117.834,117.835,100,100
2019-09-30 11:49:18.849,TrueFX,EUR/CHF,1.08591,1.08598,100,100
2019-09-30 11:49:19.053,TrueFX,USD/CAD,1.32451,1.3246,100,100
2019-09-30 11:49:17.205,TrueFX,AUD/USD,0.67547,0.6755,100,100
2019-09-30 11:49:18.633,TrueFX,GBP/JPY,133.01,133.022,100,100
2019-09-30 11:24:41.229,IEX,BLK,0.0,0.0,0,0
2019-09-30 11:24:41.242,IEX,IVV,0.0,0.0,0,0
2019-09-30 11:49:22.788,TrueFX,EUR/USD,1.09136,1.0914,100,100
2019-09-30 11:49:21.108,TrueFX,USD/JPY,107.963,107.966,100,100
2019-09-30 11:49:22.989,TrueFX,GBP/USD,1.23194,1.23202,100,100
2019-09-30 11:49:22.582,TrueFX,EUR/GBP,0.8858,0.88586,100,100
2019-09-30 11:49:22.785,TrueFX,EUR/JPY,117.831,117.832,100,100
2019-09-30 11:49:19.719,TrueFX,EUR/CHF,1.0859,1.08597,100,100
2019-09-30 11:49:19.695,TrueFX,USD/CAD,1.32451,1.32462,100,100
2019-09-30 11:49:22.795,TrueFX,GBP/JPY,133.008,133.02,100,100
2019-09-30 11:49:23.230,TrueFX,EUR/USD,1.09136,1.09139,100,100
2019-09-30 11:49:25.026,TrueFX,USD/JPY,107.965,107.966,100,100
2019-09-30 11:49:24.740,TrueFX,GBP/USD,1.23195,1.23202,100,100
2019-09-30 11:49:23.634,TrueFX,EUR/GBP,0.8858,0.88584,100,100
2019-09-30 11:49:24.840,TrueFX,EUR/JPY,117.826,117.832,100,100
2019-09-30 11:49:24.237,TrueFX,EUR/CHF,1.0859,1.08595,100,100
2019-09-30 11:49:24.732,TrueFX,GBP/JPY,133.008,133.021,100,100
2019-09-30 11:49:26.978,TrueFX,USD/JPY,107.963,107.966,100,100
2019-09-30 11:49:26.626,TrueFX,GBP/USD,1.23198,1.23203,100,100
2019-09-30 11:49:27.682,TrueFX,EUR/GBP,0.8858,0.88583,100,100
2019-09-30 11:49:27.420,TrueFX,EUR/JPY,117.826,117.832,100,100
2019-09-30 11:49:27.450,TrueFX,USD/CAD,1.32445,1.32452,100,100
2019-09-30 11:49:27.536,TrueFX,AUD/USD,0.67547,0.6755,100,100
2019-09-30 11:49:26.619,TrueFX,GBP/JPY,133.009,133.021,100,100
2019-09-30 11:49:30.353,TrueFX,EUR/USD,1.09135,1.09137,100,100
2019-09-30 11:49:30.701,TrueFX,USD/JPY,107.963,107.966,100,100
2019-09-30 11:49:30.663,TrueFX,GBP/USD,1.23197,1.23205,100,100
2019-09-30 11:49:29.194,TrueFX,EUR/GBP,0.88578,0.88581,100,100
2019-09-30 11:49:29.475,TrueFX,USD/CHF,0.99497,0.99503,100,100
2019-09-30 11:49:30.833,TrueFX,EUR/JPY,117.828,117.83,100,100
2019-09-30 11:49:30.352,TrueFX,EUR/CHF,1.08589,1.08594,100,100
2019-09-30 11:49:29.048,TrueFX,USD/CAD,1.32448,1.32455,100,100
2019-09-30 11:49:29.094,TrueFX,AUD/USD,0.67542,0.67545,100,100
2019-09-30 11:49:30.739,TrueFX,GBP/JPY,133.012,133.023,100,100
