trade_id,exchange,ticker,entryprice,exitprice,volume,entrytime,exittime
1,TrueFX,GBP/USD,1.23203,1.23198,1,2019-09-30 11:49:18.931,2019-09-30 11:49:26.626
2,TrueFX,GBP/USD,1.23202,1.23197,1,2019-09-30 11:49:22.989,2019-09-30 11:49:30.663
3,TrueFX,GBP/USD,1.23202,1.23197,1,2019-09-30 11:49:24.740,2019-09-30 11:49:30.663
4,TrueFX,GBP/USD,1.23203,1.23197,1,2019-09-30 11:49:26.626,2019-09-30 11:49:30.663
5,TrueFX,GBP/USD,1.23205,1.23197,1,2019-09-30 11:49:30.663,2019-09-30 11:49:30.663
