time,exchange,ticker,bid,ask,bidsize,asksize
2019-09-30 12:01:10.808,TrueFX,EUR/USD,1.09091,1.09096,100,100
2019-09-30 12:01:10.883,TrueFX,USD/JPY,107.98,107.984,100,100
2019-09-30 12:01:11.354,TrueFX,GBP/USD,1.23096,1.23104,100,100
2019-09-30 12:01:11.022,TrueFX,EUR/GBP,0.88619,0.88627,100,100
2019-09-30 12:01:10.896,TrueFX,USD/CHF,0.99507,0.99512,100,100
2019-09-30 12:01:11.096,TrueFX,EUR/JPY,117.796,117.802,100,100
2019-09-30 12:01:10.588,TrueFX,EUR/CHF,1.08555,1.08561,100,100
2019-09-30 12:01:10.718,TrueFX,USD/CAD,1.32448,1.32451,100,100
2019-09-30 12:01:09.864,TrueFX,AUD/USD,0.67571,0.67575,100,100
2019-09-30 12:01:11.447,TrueFX,GBP/JPY,132.913,132.926,100,100
2019-09-30 11:24:41.229,IEX,BLK,0.0,0.0,0,0
2019-09-30 11:24:41.242,IEX,IVV,0.0,0.0,0,0
2019-09-30 12:01:14.646,TrueFX,EUR/USD,1.09095,1.091,100,100
2019-09-30 12:01:14.376,TrueFX,GBP/USD,1.23099,1.23105,100,100
2019-09-30 12:01:14.317,TrueFX,EUR/GBP,0.88624,0.8863,100,100
2019-09-30 12:01:13.990,TrueFX,USD/CHF,0.99502,0.99505,100,100
2019-09-30 12:01:14.062,TrueFX,EUR/JPY,117.802,117.808,100,100
2019-09-30 12:01:14.093,TrueFX,EUR/CHF,1.08553,1.0856,100,100
2019-09-30 12:01:14.298,TrueFX,AUD/USD,0.67573,0.67577,100,100
2019-09-30 12:01:14.343,TrueFX,GBP/JPY,132.918,132.93,100,100
2019-09-30 12:01:15.053,TrueFX,USD/CHF,0.99502,0.99503,100,100
2019-09-30 12:01:15.789,TrueFX,AUD/USD,0.67571,0.67577,100,100
2019-09-30 12:01:16.369,TrueFX,GBP/JPY,132.919,132.931,100,100
2019-09-30 12:01:18.659,TrueFX,EUR/USD,1.09094,1.09099,100,100
2019-09-30 12:01:18.957,TrueFX,USD/JPY,107.983,107.987,100,100
2019-09-30 12:01:18.645,TrueFX,EUR/GBP,0.88621,0.88628,100,100
2019-09-30 12:01:19.384,TrueFX,EUR/CHF,1.08553,1.08558,100,100
2019-09-30 12:01:18.287,TrueFX,USD/CAD,1.32444,1.32451,100,100
2019-09-30 12:01:20.049,TrueFX,AUD/USD,0.67573,0.67577,100,100
2019-09-30 12:01:18.847,TrueFX,GBP/JPY,132.92,132.932,100,100
2019-09-30 12:01:21.022,TrueFX,EUR/USD,1.09095,1.09099,100,100
2019-09-30 12:01:23.211,TrueFX,EUR/JPY,117.804,117.809,100,100
2019-09-30 12:01:21.688,TrueFX,AUD/USD,0.67574,0.67577,100,100
