time,exchange,ticker,bid,ask,bidsize,asksize
2019-12-05 22:29:54.159,TrueFX,EUR/CHF,1.09583,1.09679,100,100
2019-12-05 22:29:55.650,TrueFX,EUR/CHF,1.09583,1.09678,100,100
2019-12-05 22:29:56.190,TrueFX,USD/CAD,1.31729,1.31777,100,100
2019-12-05 22:29:58.079,TrueFX,USD/JPY,108.731,108.738,100,100
2019-12-05 22:29:58.658,TrueFX,EUR/CHF,1.09582,1.09678,100,100
2019-12-05 22:29:58.591,TrueFX,GBP/JPY,143.06,143.133,100,100
2019-12-05 22:30:00.023,TrueFX,EUR/USD,1.11037,1.11052,100,100
2019-12-05 22:30:00.023,TrueFX,USD/JPY,108.733,108.741,100,100
2019-12-05 22:30:00.034,TrueFX,GBP/USD,1.3156,1.31631,100,100
2019-12-05 22:30:00.229,TrueFX,EUR/GBP,0.84355,0.84414,100,100
2019-12-05 22:30:00.091,TrueFX,EUR/JPY,120.731,120.755,100,100
2019-12-05 22:30:00.240,TrueFX,EUR/CHF,1.09569,1.09671,100,100
2019-12-05 22:30:00.110,TrueFX,USD/CAD,1.31726,1.31775,100,100
2019-12-05 22:30:00.053,TrueFX,AUD/USD,0.6831,0.68326,100,100
2019-12-05 22:30:00.187,TrueFX,GBP/JPY,143.06,143.14,100,100
2019-12-05 22:30:02.120,TrueFX,EUR/USD,1.11036,1.11056,100,100
2019-12-05 22:30:02.023,TrueFX,USD/JPY,108.731,108.741,100,100
2019-12-05 22:30:01.974,TrueFX,EUR/GBP,0.84355,0.84417,100,100
2019-12-05 22:30:01.710,TrueFX,USD/CHF,0.9867,0.98764,100,100
2019-12-05 22:30:01.098,TrueFX,EUR/JPY,120.73,120.754,100,100
2019-12-05 22:30:01.717,TrueFX,EUR/CHF,1.09556,1.09669,100,100
2019-12-05 22:30:02.101,TrueFX,USD/CAD,1.31718,1.31778,100,100
2019-12-05 22:30:02.085,TrueFX,GBP/JPY,143.06,143.135,100,100
2019-12-05 22:30:03.184,TrueFX,EUR/USD,1.11034,1.11052,100,100
2019-12-05 22:30:03.243,TrueFX,USD/JPY,108.733,108.741,100,100
2019-12-05 22:30:03.727,TrueFX,EUR/GBP,0.84355,0.84417,100,100
2019-12-05 22:30:03.422,TrueFX,USD/CHF,0.9867,0.98769,100,100
2019-12-05 22:30:02.787,TrueFX,EUR/CHF,1.09556,1.09671,100,100
2019-12-05 22:30:03.859,TrueFX,USD/CAD,1.31725,1.31774,100,100
2019-12-05 22:30:03.775,TrueFX,GBP/JPY,143.06,143.135,100,100
2019-12-05 22:30:05.152,TrueFX,EUR/GBP,0.84355,0.8442,100,100
2019-12-05 22:30:05.140,TrueFX,USD/CHF,0.9867,0.98764,100,100
2019-12-05 22:30:05.454,TrueFX,EUR/CHF,1.0956,1.09675,100,100
2019-12-05 22:30:04.189,TrueFX,USD/CAD,1.31725,1.31774,100,100
2019-12-05 22:30:05.305,TrueFX,GBP/JPY,143.06,143.14,100,100
2019-12-05 21:58:39.500,IEX,SPY,0.0,0.0,0,0
2019-12-05 22:30:07.480,TrueFX,EUR/USD,1.11036,1.11058,100,100
2019-12-05 22:30:06.802,TrueFX,USD/JPY,108.731,108.741,100,100
2019-12-05 22:30:07.479,TrueFX,EUR/GBP,0.84358,0.8442,100,100
2019-12-05 22:30:06.678,TrueFX,USD/CHF,0.9867,0.98763,100,100
2019-12-05 22:30:07.434,TrueFX,EUR/JPY,120.73,120.758,100,100
2019-12-05 22:30:06.757,TrueFX,EUR/CHF,1.09556,1.09671,100,100
2019-12-05 22:30:07.402,TrueFX,GBP/JPY,143.06,143.135,100,100
2019-12-05 22:30:08.844,TrueFX,EUR/USD,1.11037,1.11054,100,100
2019-12-05 22:30:08.820,TrueFX,USD/JPY,108.724,108.734,100,100
2019-12-05 22:30:08.869,TrueFX,GBP/USD,1.31564,1.31631,100,100
2019-12-05 22:30:08.869,TrueFX,EUR/GBP,0.84358,0.84417,100,100
2019-12-05 22:30:09.108,TrueFX,USD/CHF,0.9867,0.98771,100,100
2019-12-05 22:30:08.819,TrueFX,EUR/JPY,120.727,120.749,100,100
2019-12-05 22:30:08.935,TrueFX,EUR/CHF,1.0956,1.09675,100,100
2019-12-05 22:30:08.849,TrueFX,GBP/JPY,143.05,143.118,100,100
2019-12-05 21:14:32.500,IEX,QQQ,0.0,0.0,0,0
2019-12-05 22:30:09.823,TrueFX,USD/JPY,108.721,108.734,100,100
2019-12-05 22:30:10.349,TrueFX,GBP/USD,1.3156,1.31631,100,100
2019-12-05 22:30:10.415,TrueFX,EUR/GBP,0.84358,0.84422,100,100
2019-12-05 22:30:10.757,TrueFX,USD/CHF,0.9867,0.98771,100,100
2019-12-05 22:30:10.086,TrueFX,EUR/JPY,120.725,120.746,100,100
2019-12-05 22:30:10.760,TrueFX,EUR/CHF,1.0956,1.09675,100,100
2019-12-05 22:30:10.424,TrueFX,AUD/USD,0.68313,0.68326,100,100
2019-12-05 22:30:10.454,TrueFX,GBP/JPY,143.05,143.118,100,100
