time,exchange,ticker,bid,ask,bidsize,asksize
2019-10-02 19:26:59.906,TrueFX,EUR/USD,1.0959,1.09594,100,100
2019-10-02 19:27:02.084,TrueFX,USD/JPY,107.188,107.192,100,100
2019-10-02 19:26:57.277,TrueFX,GBP/USD,1.23029,1.23037,100,100
2019-10-02 19:26:57.255,TrueFX,EUR/GBP,0.89071,0.89077,100,100
2019-10-02 19:27:01.030,TrueFX,USD/CHF,0.99709,0.99713,100,100
2019-10-02 19:27:02.506,TrueFX,EUR/JPY,117.469,117.475,100,100
2019-10-02 19:27:01.004,TrueFX,EUR/CHF,1.09271,1.09279,100,100
2019-10-02 19:26:57.045,TrueFX,USD/CAD,1.33146,1.33154,100,100
2019-10-02 19:26:52.484,TrueFX,AUD/USD,0.67066,0.67074,100,100
2019-10-02 19:27:02.084,TrueFX,GBP/JPY,131.875,131.886,100,100
2019-10-02 19:27:03.325,IEX,SPY,288.63,288.66,600,100
2019-10-02 19:27:02.774,IEX,QQQ,184.36,184.38,100,100
2019-10-02 19:27:07.197,TrueFX,USD/JPY,107.189,107.195,100,100
2019-10-02 19:27:04.671,TrueFX,EUR/JPY,117.471,117.476,100,100
2019-10-02 19:27:04.915,TrueFX,EUR/CHF,1.09271,1.09279,100,100
2019-10-02 19:27:08.351,TrueFX,USD/CAD,1.33149,1.33156,100,100
2019-10-02 19:27:04.670,TrueFX,GBP/JPY,131.877,131.889,100,100
2019-10-02 19:27:08.834,IEX,SPY,288.65,288.68,200,100
2019-10-02 19:27:09.288,IEX,QQQ,184.37,184.4,100,100
2019-10-02 19:27:13.996,TrueFX,EUR/USD,1.09589,1.09594,100,100
2019-10-02 19:27:13.974,TrueFX,USD/JPY,107.188,107.193,100,100
2019-10-02 19:27:14.087,TrueFX,GBP/USD,1.23032,1.23042,100,100
2019-10-02 19:27:14.097,TrueFX,EUR/GBP,0.89068,0.89076,100,100
2019-10-02 19:27:11.382,TrueFX,EUR/JPY,117.468,117.476,100,100
2019-10-02 19:27:13.775,TrueFX,USD/CAD,1.3315,1.33157,100,100
2019-10-02 19:27:14.336,TrueFX,GBP/JPY,131.879,131.891,100,100
