trade_id,exchange,ticker,entryprice,exitprice,volume,entrytime,exittime
1,TrueFX,GBP/USD,1.23104,1.23099,1,2019-09-30 12:01:11.354,2019-09-30 12:01:14.376
2,TrueFX,GBP/USD,1.23105,1.23099,1,2019-09-30 12:01:14.376,2019-09-30 12:01:14.376
3,TrueFX,GBP/USD,1.23105,1.23099,1,2019-09-30 12:01:14.376,2019-09-30 12:01:14.376
4,TrueFX,GBP/USD,1.23105,1.23099,1,2019-09-30 12:01:14.376,2019-09-30 12:01:14.376
5,TrueFX,GBP/USD,1.23105,1.23099,1,2019-09-30 12:01:14.376,2019-09-30 12:01:14.376
