time,exchange,ticker,bid,ask,bidsize,asksize
2019-09-16 07:37:02.746,TrueFX,EUR/USD,1.1078,1.10781,100,100
2019-09-16 07:37:02.597,TrueFX,USD/JPY,107.849,107.853,100,100
2019-09-16 07:37:02.517,TrueFX,GBP/USD,1.24709,1.24714,100,100
2019-09-16 07:37:02.679,TrueFX,EUR/GBP,0.88829,0.88835,100,100
2019-09-16 07:37:01.879,TrueFX,USD/CHF,0.98902,0.98907,100,100
2019-09-16 07:37:02.687,TrueFX,EUR/JPY,119.478,119.484,100,100
2019-09-16 07:37:02.691,TrueFX,EUR/CHF,1.09565,1.09567,100,100
2019-09-16 07:37:02.375,TrueFX,USD/CAD,1.32597,1.32601,100,100
2019-09-16 07:37:02.013,TrueFX,AUD/USD,0.68771,0.68773,100,100
2019-09-16 07:37:02.686,TrueFX,GBP/JPY,134.496,134.505,100,100
2019-09-16 07:37:05.898,TrueFX,EUR/USD,1.10779,1.10783,100,100
2019-09-16 07:37:05.983,TrueFX,USD/JPY,107.849,107.853,100,100
2019-09-16 07:37:02.517,TrueFX,GBP/USD,1.24709,1.24714,100,100
2019-09-16 07:37:02.679,TrueFX,EUR/GBP,0.88829,0.88835,100,100
2019-09-16 07:37:01.879,TrueFX,USD/CHF,0.98902,0.98907,100,100
2019-09-16 07:37:05.983,TrueFX,EUR/JPY,119.477,119.482,100,100
2019-09-16 07:37:05.676,TrueFX,EUR/CHF,1.09565,1.09568,100,100
2019-09-16 07:37:04.529,TrueFX,USD/CAD,1.32593,1.32598,100,100
2019-09-16 07:37:03.393,TrueFX,AUD/USD,0.68771,0.68775,100,100
2019-09-16 07:37:05.984,TrueFX,GBP/JPY,134.495,134.503,100,100
2019-09-16 07:37:09.265,TrueFX,EUR/USD,1.10782,1.10783,100,100
2019-09-16 07:37:07.994,TrueFX,USD/JPY,107.847,107.853,100,100
2019-09-16 07:37:02.517,TrueFX,GBP/USD,1.24709,1.24714,100,100
2019-09-16 07:37:02.679,TrueFX,EUR/GBP,0.88829,0.88835,100,100
2019-09-16 07:37:07.383,TrueFX,USD/CHF,0.98902,0.98908,100,100
2019-09-16 07:37:08.061,TrueFX,EUR/JPY,119.477,119.481,100,100
2019-09-16 07:37:09.265,TrueFX,EUR/CHF,1.09567,1.0957,100,100
2019-09-16 07:37:04.529,TrueFX,USD/CAD,1.32593,1.32598,100,100
2019-09-16 07:37:03.393,TrueFX,AUD/USD,0.68771,0.68775,100,100
2019-09-16 07:37:08.062,TrueFX,GBP/JPY,134.492,134.503,100,100
2019-09-16 07:37:12.541,TrueFX,EUR/USD,1.10782,1.10784,100,100
2019-09-16 07:37:12.541,TrueFX,USD/JPY,107.847,107.853,100,100
2019-09-16 07:37:12.210,TrueFX,GBP/USD,1.24702,1.24713,100,100
2019-09-16 07:37:12.331,TrueFX,EUR/GBP,0.88829,0.88835,100,100
2019-09-16 07:37:11.968,TrueFX,USD/CHF,0.98907,0.98912,100,100
2019-09-16 07:37:12.616,TrueFX,EUR/JPY,119.477,119.481,100,100
2019-09-16 07:37:12.897,TrueFX,EUR/CHF,1.09573,1.09574,100,100
2019-09-16 07:37:12.446,TrueFX,USD/CAD,1.32587,1.32591,100,100
2019-09-16 07:37:10.907,TrueFX,AUD/USD,0.68771,0.68775,100,100
2019-09-16 07:37:12.541,TrueFX,GBP/JPY,134.495,134.504,100,100
2019-09-16 07:37:13.960,TrueFX,EUR/USD,1.10779,1.10784,100,100
2019-09-16 07:37:14.498,TrueFX,USD/JPY,107.846,107.851,100,100
2019-09-16 07:37:13.581,TrueFX,GBP/USD,1.24702,1.24714,100,100
2019-09-16 07:37:12.331,TrueFX,EUR/GBP,0.88829,0.88835,100,100
2019-09-16 07:37:13.546,TrueFX,USD/CHF,0.98904,0.98912,100,100
2019-09-16 07:37:14.549,TrueFX,EUR/JPY,119.474,119.481,100,100
2019-09-16 07:37:15.460,TrueFX,EUR/CHF,1.09569,1.09574,100,100
2019-09-16 07:37:13.802,TrueFX,USD/CAD,1.32589,1.32592,100,100
2019-09-16 07:37:13.237,TrueFX,AUD/USD,0.68771,0.68777,100,100
2019-09-16 07:37:13.918,TrueFX,GBP/JPY,134.493,134.504,100,100
2019-09-16 07:37:13.960,TrueFX,EUR/USD,1.10779,1.10784,100,100
2019-09-16 07:37:18.390,TrueFX,USD/JPY,107.849,107.853,100,100
2019-09-16 07:37:18.600,TrueFX,GBP/USD,1.2472,1.24725,100,100
2019-09-16 07:37:18.379,TrueFX,EUR/GBP,0.88822,0.88828,100,100
2019-09-16 07:37:13.546,TrueFX,USD/CHF,0.98904,0.98912,100,100
2019-09-16 07:37:18.610,TrueFX,EUR/JPY,119.477,119.481,100,100
2019-09-16 07:37:16.138,TrueFX,EUR/CHF,1.09566,1.09573,100,100
2019-09-16 07:37:16.131,TrueFX,USD/CAD,1.32587,1.32592,100,100
2019-09-16 07:37:17.132,TrueFX,AUD/USD,0.68772,0.68777,100,100
2019-09-16 07:37:18.795,TrueFX,GBP/JPY,134.508,134.52,100,100
2019-09-16 07:37:21.252,TrueFX,EUR/USD,1.1078,1.10784,100,100
2019-09-16 07:37:18.390,TrueFX,USD/JPY,107.849,107.853,100,100
2019-09-16 07:37:21.424,TrueFX,GBP/USD,1.24723,1.24728,100,100
2019-09-16 07:37:21.152,TrueFX,EUR/GBP,0.88819,0.88825,100,100
2019-09-16 07:37:21.227,TrueFX,USD/CHF,0.98904,0.9891,100,100
2019-09-16 07:37:19.136,TrueFX,EUR/JPY,119.477,119.481,100,100
